CourseId	Name	Description	Rating	SportId	TeacherId
1	Elevate Your Tennis Game: Learn from Champion Andre Agassi	Level up your tennis game with the next best thing to a private lesson. Master insider secrets and a winner’s mindset.	4.7	41	
2	The Perfect Golf Swing - Timeless Golf Instruction	"The Perfect Golf Swing is the internationally acclaimed course taught by golf pro Jim McLellan.
Jim has been featured by the New York Times, NBC, CBS, Entertainment Tonight, Today's Golfer, and ABC.  He is also prominently featured in John Richardson's bestselling book, ""Dream On""
Jim has helped tens of thousands of golfers improve their Golf Swing Basics when all other instruction has failed.
Volume I is ten lessons that cover the basics of how to transform your swing into a perfect Golfswing.  All that is required is a golf club and your willingness to do what Jim says.  In fact, in the beginning you don't go to a golf course, you don't even hit a golf ball.  Whether you're just starting or have been playing for years, this is about starting out right or about un-learning all of the bad habits and bad instruction that other magazines, books and videos have put in your head about Golf Swing Basics.
Volume II is about taking your game to the next level.  Increasing power and distance, fixing your slice, chipping, putting, sand shots, etc. 
All of the instruction is delivered via video, and Jim will be available to answer questions you post to Udemy.
Here is an overview of what you will learn in Volume I and II:
The Perfect Golf Swing: Volume I
1.  Good Golf:  The 2 key points that contribute to great golf.2.  Back Swing:  What is a good back swing and are you making the biggest back swing mistake?3.  The Hat:  The most important element of the golf swing.4.  Goob:  A story you will never forget.5.  Follow Through:  The easiest part of the golf swing and the least understood.6.  Tie it all Together: 1 golf swing, 1 motion.7.  Grip:  How to find the grip you were born with.8.  Stance:  Finding your perfect stance.9.  Hot Tips:  The 3 things that prevent you from becoming as good as you can be.10.  Practice:  Practice makes permanent.  Perfect practice makes perfect.
The Perfect Golf Swing: Volume II
1.  The Perfect Swing:  Fine tuning your good golf swing into a perfect golf swing.2.  Power/Distance:  What is the source of the power?  How you can harness it.3.  Slicing/Hooking:  How to cure your golf slice in 5 minutes or less.  No kidding!4.  Clyde:  Questions from the gallery.5.  Irons:  Keys for superb iron play.6.  Ball Placement:  Proper ball placement.7.  Truth and Lies:  The 4 lies. Do you know what they are?8.  Practice:  Are you practicing intelligently?9.  Scoring:  The little known secret to a lower score.10.  Chipping, Putting & Sand Shots: Made Easy11.  Sage Advice:  The way to your best golf and the dangers of more information.12.  Visualization:  The beauty of a perfect golf swing."	4.8	18	
3	Fully Accredited Professional Sports Psychology Diploma	Understanding The Psychology Of Sport With Powerful Techniques To Overcome Blocks & Achieve Your Goals In Sport!	4.4		
4	Introduction to Football (Soccer) Tactics	Gain a deeper understanding of the world of football with this guide to the basic principles of football tactics.	4.2	16	
5	Sport Psychology: Develop the Champion Mindset	The Vital Sports Psychology Mental Skills needed for any successful performance as used by the world's greatest athletes	4.4		
6	The Ultimate Soccer Guide | Play Like A Pro Soccer Player	"Learn how to drastically improve your soccer skills, fitness, confidence, and game intelligence FASTER than ever before."	4.9		
7	"Total Immersion Swimming: Swim Better, Easier, Faster!"	Official Course: Total Immersion head coach Terry Laughlin teaches you how to swim faster and further using less effort	4.6		
8	Table tennis for beginners	"In this popular course, I’ll show you how to play table tennis. You will learn how to hold the bat, how to stand and how to move.
You will learn the correct technique for the basic table tennis strokes - a forehand drive, a backhand drive, a forehand push and a backhand push. Plus, I'll show you 21 training drills to help you improve your skills.
You will also learn how to serve. I'll show you how to do a backspin serve, a sidespin serve and a topspin serve.
Each video lesson includes links to external resources, where you can read more about each topic.
To become a great table tennis player, you need to master the basic skills first. This course will help you do that.
Over 2,000 students have already signed up, with a review average of 4.6 out of 5. This is a really good course for learning table tennis. Go for it!

"	4.6	40	1634
9	Skate-Pro: Inline skating course for adult beginners.	"The how to inline skate course for beginners wanting to feel safe learning to skate, stop, turn and go faster."	4.9		1532
10	Introductory Sport Psychology	"Developing sport psychology skills that you can use when you train, compete or coach"	4.3		
11	Trick Tutor- Beginner Skateboarding Lesson Online	"The best-selling course for beginners. Learn how to skateboard, stay safe, and learn a few tricks."	4.7		
12	"Treat lower back in swimming, swim 1k freestyle"	"Learn to swim freestyle WEST using the healthiest swimming technique, train with hydrotherapy expert , Ori Sela"	4.5		
13	Sports Management: The Essentials Course	A Comprehensive Overview at How the Sports Industry Operates and the Challenges Facing the Modern Sports Industry Today	4.4		
14	Skate-Pro: The complete Intermediate inline skating course.	"The how to inline skate course for adults wanting to learn crossovers, stops, backwards and speed with confidence."	4.5		
15	How to Analyze Football (Soccer) - Basics	Learn how to analyze Football (Soccer) like a football analyst in order to improve your performance	4.4		
16	Sports Massage: The Technique Masterclass (2 CEUs)	Learn the most effective sports massage techniques for the entire body.	4.7		
17	Light Saber Duel by LudoSport - Master Form 1 (Sub. Eng)	"Evolve your Saber Skills by practical exercises, theorical lessons, slow motion, common mistakes and details!"	4.8		
18	Sport Psychology for Athletes	Master the fundamentals of sport psychology to improve performance and gain a mental edge	4.6		
19	Learn to Sail: The Basics	This course will cover the basics to prepare you to sail with a friend or start taking on-the-water lessons.	4.4		
20	Become a Professional Football (Soccer) Coach	The Complete Guide on how to become a Professional Football (Soccer) Coach	4.4		
21	Learn the freestyle turn	"Learn the freestyle and backstroke flip turn, understand the Secret of WEST swimming technique"	4.9		
22	Applied Sport Psychology and Leadership in Sport	Enhance your knowledge of sport psychology from an athlete or coach perspective with this in depth applied course.	4.6		
23	Badminton Mastery: How to unleash your badminton potential	"With the right coaching, you can excel at this game!"	4.4		
24	The Essential Guide To Developing Technical Soccer Players	Developing the complete soccer player is a passion of mind. Take this course now and elevate your game to the next level	3.9		
25	Slow Jogging: all you need to know to get started	"Science-based natural running for weight-loss, health & performance benefits, elaborated in Japan by prof. Tanaka"	4.9		
26	Football Betting: Generate Your Own Odds (Introduction)	Learn how to generate your own football odds and become a professional sports betting success story with Orio Sports	3.6		
27	Football Analysis and Predictions for Dummies	Complete Football Analysis and Prediction Course With a Proven Step-by-step Learning System.	3.1		
28	Turn Your Forehand Into A Weapon: Effortless Tennis Forehand	Discover ATP Pros Secrets & Turn Your Tennis Forehand Into A Winning Weapon	4.7		
29	Ultimate Golf: How To Build Your Perfect Golf Swing	The Three Keys to Consistency	4.3		
30	Basketball for Beginners: Improving Your Basketball Skills	The intent of this course is help anyone improve their basketball skills by going through a series of basketball drills.	4.6		
31	Secretes of Becoming Freelance Sport Coach	Suit freelance football/swimming/tennis/badminton/basketball/soccer coaches	4.5		
32	Become a Pro Gamer (eSports Athlete)	"A guide of insights, inspiration, advice and tools to gain a concrete vision of what it means to become a pro gamer."	4.6		
33	Become a Safe and Efficient Dive Explorer	A-Z innovative guide to the diving techniques used by the most succesful Dive Explorers and Researchers worldwide.	4.0		
34	Anterior Cruciate Ligament (ACL) Masterclass	Evidence Based Management of ACL Injuries by Nicky van Melick	4.8		
