"MessageId","LaunchTime","Title","Content","StudentId"
"0","0000-00-00 00:00:00",""" Yes"," Are you a fan of Google or Microsoft?","284"
"1","0000-00-00 00:00:00"," That's crazy long! "," Both are excellent technology they are helpful in many ways. For the security purpose both are super.","252"
"10","0000-00-00 00:00:00"," do you like Fish? """,""" By the way","76"
"100","0000-00-00 00:00:00"," I took a horse ride once and live in an area with"," I wonder if they had met what he would have written about her.","689"
"1000","0000-00-00 00:00:00",""" Wow. You know"," You too. I do not think its in effect though.","955"
"1001","0000-00-00 00:00:00",""" Interesting"," hi are you a republican?","586"
"1002","0000-00-00 00:00:00",""" Yes. It's original meaning was """"to lightly stri"," No I am not. How about you?","1463"
"1003","0000-00-00 00:00:00"," I am a Libertarian. Maybe one of us will win soon",""" No I am not","651"
"1004","0000-00-00 00:00:00"," but with how corrupt everything is now it is look",""" Well I am just hoping Trump doesn't win a second term next year","90"
"1005","0000-00-00 00:00:00"," I don't particularly like him. Did you vote last ",""" I do too","967"
"1006","0000-00-00 00:00:00"," I voted Hillary even though I didn't really care ",""" I did","1043"
"1007","0000-00-00 00:00:00"," I voted third party. I was part of the problem",""" For sure","221"
"1008","0000-00-00 00:00:00"," so if he actually makes it onto the ballot this y",""" Well Bernie Sanders just announced his 2020 run","1154"
"1009","0000-00-00 00:00:00"," he got taken out of the running in 2016 by hillar",""" Yea","417"
"101","0000-00-00 00:00:00",""" They are so beautiful"," Yeah good point. He also invented some women's names","602"
"1010","0000-00-00 00:00:00"," I always liked him when he was VP.""",""" If Biden decided to run in 2020 i would probably choose him over Bernie","1271"
"1011","0000-00-00 00:00:00"," and he would take Trump down.""",""" For sure","346"
"1012","0000-00-00 00:00:00"," with all the rumored election rigging and ties to",""" I am not sure anyone can take Trump down at this point","88"
"1013","0000-00-00 00:00:00"," I figured the same thing! I don't think he's good",""" Right","1465"
"1014","0000-00-00 00:00:00"," like it should be",""" Well one problem is the election is based on the electoral college more than actual peoples votes. If we could get rid of the electoral college and get back to the popular vote","212"
"1015","0000-00-00 00:00:00",""" Yikes!  I don't want to see those.  Not even in "," For sure. They should do it like athens did back in the day. Use a lottery system to prevent oligarchy! I think he is cheating the system","90"
"1016","0000-00-00 00:00:00"," but Trump supposedly gets away with treason and i",""" Yep and nothing is being done about it. Bill Clinton cheated on his wife and every one through a fit and started impeachment proceedings","1418"
"1017","0000-00-00 00:00:00"," and cheating on his wife a bunch of times!""",""" For sure","486"
"1018","0000-00-00 00:00:00"," I will never understand why his personal life mat",""" yeah Clinton was not a good husband but he was a pretty darn good president","1348"
"1019","0000-00-00 00:00:00"," people made good money and the economy was great!",""" for sure","1469"
"102","0000-00-00 00:00:00"," Miranda and Jessica""",""" Yes among those are Olivia","1004"
"1020","0000-00-00 00:00:00"," good chat.""",""" Yeah same to you","748"
"1021","0000-00-00 00:00:00",""" Those salt water crocs. I wouldn't want to cross"," bye!","233"
"1022","0000-00-00 00:00:00"," do you follow politics much?""",""" Hello","312"
"1023","0000-00-00 00:00:00"," it is hard to escape them all together. Did you k",""" Hi I do from time to time","1332"
"1024","0000-00-00 00:00:00",""" I used to.  I like the older fiction.  Speaking "," Oh pretty cool fact. And since 1853 the president has been either a republican or a democrat","608"
"1025","0000-00-00 00:00:00"," I thought it was earlier than that""",""" Wow pretty dominant. THey did not start using the colors red and blue until 2000","928"
"1026","0000-00-00 00:00:00"," you are right. Did you hear about Truman and his ",""" Yeah it does feel late","1229"
"1027","0000-00-00 00:00:00"," shape or form and the dumbo is their logo""",""" Yeah he just id not want to be associated with Republicans in any way","282"
"1028","0000-00-00 00:00:00"," i honestly have no idea."," Yup pretty much. DO you know how officials were elected in ancient athens?","115"
"1029","0000-00-00 00:00:00"," and I wonder how that would work nowadays probabl",""" Yes by lottery","1147"
"103","0000-00-00 00:00:00"," I am sure they did. I just wouldn't ride horses t"," Yeah. Did you know that his works have to stick to the old english language to make sense?","980"
"1030","0000-00-00 00:00:00"," I like that""",""" Hahah agreed. In Nevada you have the options to not vote for any of the candidates","119"
"1031","0000-00-00 00:00:00"," I wish it were in all the states. Too bad not a l",""" Me too","132"
"1032","0000-00-00 00:00:00"," That is good. It focuses on how the female charac"," Yeah I hope we can go past that almost 63%. We need to all vote","437"
"1033","0000-00-00 00:00:00",""" Nice. I think I do remember that one now. It's w"," Yes I agree. Since 1990 it seems the taller candidate has been winning the election. Coincidence?","676"
"1034","0000-00-00 00:00:00",""" I didn't"," Hmm interesting one. DO you know what the Beatles song Come together was written for?","1270"
"1035","0000-00-00 00:00:00",""" lynn's novels are feminist precisely because the"," Yeah it was for the California governor Timothy Leary in 1969","408"
"1036","0000-00-00 00:00:00",""" I think you can really see this in the first lin"," Yeah that one. When Schwarzenegger was governor of California he did not live in Sacramento and commuted ever day","811"
"1037","0000-00-00 00:00:00"," he travelled by private jet 3 hours each day""",""" But he did not have it rough","1434"
"1038","0000-00-00 00:00:00",""" That is interesting. I wonder if Camille's (from"," Good for him I guess. North Dakota governor declared martial law in 1934","1491"
"1039","0000-00-00 00:00:00"," Couldn't it be both? Couldn't her looks be a powe"," Yes and then seceded from the US. WOw","316"
"104","0000-00-00 00:00:00"," they do not work with modern language""",""" Yes especially with punk and rhymes","1289"
"1040","0000-00-00 00:00:00"," the first female governor was elected before othe",""" In Texas","338"
"1041","0000-00-00 00:00:00"," seems they were a bit more ahead of time/. Ralph ",""" Nice","678"
"1042","0000-00-00 00:00:00",""" True"," Must have been tough being the only guy.","905"
"1043","0000-00-00 00:00:00"," I always question how the author should portray t"," The Republican Party is really popular in the states do you agree?","182"
"1044","0000-00-00 00:00:00"," So true that the author and reader can differ on "," Unfortunately yes.  It is not like the republican party of old times.","45"
"1045","0000-00-00 00:00:00"," funny anecdote with Truman and Dumbo though""",""" Yeah a lot of things have changed","342"
"1046","0000-00-00 00:00:00",""" True"," That is a good one.  Poor Dumbo.  He probably didnt realize what was happening.  They should have brought out Eeyore instead.","67"
