UserId,MessageId,LaunchTime,Content,Title
284,0,10/8/2021 11:11, Are you a fan of Google or Microsoft?," Yes, they did. The longest tennis match went on for 11 hours over three days. I bet they were exhausted!"
252,1,8/30/2021 9:43, Both are excellent technology they are helpful in many ways. For the security purpose both are super., That's crazy long! 
559,2,10/13/2021 7:52," I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. ", I agree! It's amazing the facts you can find on Google. Did you know that a single Google search requires more computing power than it took to send Neil Armstrong to the moon?
1399,3,9/18/2021 19:35," Google provides online related services and products, which includes online ads, search engine and cloud computing.", That's pretty amazing! I saw that Google maps calculates traffic by how fast Android devices are moving on the road.
411,4,9/1/2021 10:24," Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. ", I never knew that! I wonder whose? I know I heard that back in the day Google used goats to keep the lawn under control instead of hiring people to mow.
1272,5,9/26/2021 22:49, Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest., That's hilarious! Google went down for 5 minutes back in 2013 and took 40% of the web traffic with it.
371,6,10/4/2021 14:58, Did you know Google had hundreds of live goats to cut the grass in the past? , I can imagine. I use it a lot. It's hard to believe its only been around since 1998.
1174,7,10/11/2021 22:41," It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. "," I agree. When there is a dispute on a border, Google maps tailors the map to the claims of each country where the internet browser is located."
1302,8,9/8/2021 15:28, I like Google Chrome. Do you use it as well for your browser? , That sounds logical. I wish I would have gotten on board with the 2004 initial public offering to buy stock. I can't even imagine the outcome.
1203,9,9/19/2021 22:27," Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger.", I can't either. Do you like shoes?
76,10,9/28/2021 9:41," By the way, do you like Fish? ", I love shoes!! I know that shoes made 5000 years ago perform better than today's shoes!
1080,11,9/26/2021 2:00, Yes. They form a sister group of tourniquets- they make the sea water clean and remove the dust from it. Fish is the biggest part in the eco-system., That's pretty amazing they perform better than the shoes of today!
1331,12,9/12/2021 19:22, Did you know that a seahorse is the only fish to have a neck? , I agree. I can't see how though. I find it amazing the array of choices like ones that can cost thousands of dollars a pair.
1020,13,8/31/2021 20:31," Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings.", It was good chatting with you!
1356,14,9/20/2021 2:31," Interesting, they also have gills. Did you know that jellyfish are immortal? ", Hello do you like tennis?
1337,15,9/13/2021 12:28, Yes. Fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries., Yes. Tennis is a racket sport that can be played individually against a single opponent or doubles.
243,16,10/11/2021 3:55," What about cats, do you like cats? I'm a dog fan myself. "," Yes,  thanks for the explaination.  Did you know that polo shirts were made originally for tennis players?"
837,17,9/27/2021 21:34, The cat is referred as domestic cat and wild cat. They make our world very clean from rats! ," Yes, It is more comfortable to wear while playing, and it also make the popular of the shirts."
222,18,10/7/2021 10:34," Yeah, cats can be cool, but they sure do spend a lot of their time sleeping. ", They used a helicopter to dry the grass in the 1969 us open lol
511,19,9/20/2021 22:23, Cats hear the sounds too faint or too high frequency human ears can hear. ," In 19th century, modern tennis is originated in England as Lawn tennis."
1035,20,8/30/2021 1:20," I heard that too. Well, it was nice chatting with you. Have a good day. "," Nice,  sounds fun!  The longest tennis match went on for 3 days!  can you imagine?"
354,21,9/15/2021 1:33, do you like dance?, When this match happened ?
828,22,9/3/2021 3:51, Yes  I do. Did you know Bruce Lee was a cha cha dancer?, I think around 2015
937,23,9/23/2021 9:56, Yes he even won a hardcore cha cha championship in 1958, Thanks. The main component of tennis is racket until 1978 a tennis player was allowed to use absolutely any object as racket.
861,24,9/11/2021 22:03, Yeah. Did you know Tupac was a ballet dancer?, Thats interesting!  
562,25,10/1/2021 8:40, Yes and he even was in the production of the nutcracker, Google was founded in 1998. It is an American multinational technology company that is specialized in internet-related services.
1177,26,9/26/2021 12:52, Yeah. Ballet dancer go through 4 pairs of shoes a week, Seems like a long time ago even though it wasnt.  
1128,27,8/28/2021 5:51, Yes that is a lot of shoes and also a lot of money," It is the biggest search engine and cloud computing service. It also many application like gmail, youtube, etc..."
1323,28,10/6/2021 4:45, Yeah true. Did you know babies are really good at dancing?," Yes,  I recently read that a google search requires more computing power than it took to send astronauts to the moon lol"
1175,29,9/15/2021 4:09, Yes and they smile more when they hit the beat, Google is the most valuable brand in 2017. Google announced the new company called Calico.
318,30,10/4/2021 16:45, Yeah they are much smarter than we give them credit for," wow awesome.  Instead of hiring people to mow the lawn,  they hired goats.  "
1017,31,9/3/2021 9:11, True Did you know Jackson had a patent on a dancing device?, The company moved to mobile android system the Chrome OS is the light weight operating system.
475,32,9/16/2021 11:04, Yes it helped him smooth out his dance moves, ok.  I recently read that they calculate the taffic by how fast android phones are moving. 
