ReservationId,UserId,CourtId,BeginTime,EndTime
0,1695,12,2021-10-14 09:00:00,2021-10-14 10:00:00
1,2577,25,2021-09-26 18:00:00,2021-09-26 19:00:00
2,1788,2,2021-11-03 15:00:00,2021-11-03 16:00:00
3,2996,8,2021-10-29 20:00:00,2021-10-29 21:00:00
4,1542,3,2021-10-29 11:00:00,2021-10-29 12:00:00
5,2364,2,2021-09-13 19:00:00,2021-09-13 20:00:00
6,3635,17,2021-10-31 10:00:00,2021-10-31 11:00:00
7,3842,4,2021-09-11 11:00:00,2021-09-11 12:00:00
8,1898,14,2021-09-01 09:00:00,2021-09-01 10:00:00
9,1669,22,2021-08-28 19:00:00,2021-08-28 20:00:00
10,3982,11,2021-09-30 18:00:00,2021-09-30 19:00:00
11,3497,15,2021-09-03 21:00:00,2021-09-03 22:00:00
12,2622,4,2021-09-20 17:00:00,2021-09-20 18:00:00
13,3387,6,2021-09-10 14:00:00,2021-09-10 15:00:00
14,3701,26,2021-10-23 17:00:00,2021-10-23 18:00:00
15,3787,23,2021-10-01 11:00:00,2021-10-01 12:00:00
16,2397,17,2021-10-16 09:00:00,2021-10-16 10:00:00
17,3689,29,2021-10-24 10:00:00,2021-10-24 11:00:00
18,1521,12,2021-10-11 12:00:00,2021-10-11 13:00:00
19,3738,20,2021-11-01 15:00:00,2021-11-01 16:00:00
20,3406,3,2021-11-12 18:00:00,2021-11-12 19:00:00
21,3277,29,2021-08-30 10:00:00,2021-08-30 11:00:00
22,1881,2,2021-10-27 19:00:00,2021-10-27 20:00:00
23,2190,16,2021-09-20 12:00:00,2021-09-20 13:00:00
24,1954,0,2021-08-25 13:00:00,2021-08-25 14:00:00
25,3052,26,2021-08-28 10:00:00,2021-08-28 11:00:00
26,2694,16,2021-11-03 21:00:00,2021-11-03 22:00:00
27,2330,22,2021-09-24 21:00:00,2021-09-24 22:00:00
28,1591,23,2021-10-02 17:00:00,2021-10-02 18:00:00
29,2954,4,2021-10-21 14:00:00,2021-10-21 15:00:00
30,2170,21,2021-09-17 19:00:00,2021-09-17 20:00:00
31,2381,11,2021-10-26 11:00:00,2021-10-26 12:00:00
32,2731,0,2021-10-07 10:00:00,2021-10-07 11:00:00
33,3214,11,2021-10-10 14:00:00,2021-10-10 15:00:00
34,3864,10,2021-11-03 19:00:00,2021-11-03 20:00:00
35,3350,13,2021-09-22 17:00:00,2021-09-22 18:00:00
36,3892,26,2021-10-15 16:00:00,2021-10-15 17:00:00
37,2417,25,2021-09-09 11:00:00,2021-09-09 12:00:00
38,2904,14,2021-09-12 10:00:00,2021-09-12 11:00:00
39,2622,27,2021-09-23 09:00:00,2021-09-23 10:00:00
40,2678,28,2021-09-26 17:00:00,2021-09-26 18:00:00
41,1559,11,2021-09-19 18:00:00,2021-09-19 19:00:00
42,3734,18,2021-09-06 10:00:00,2021-09-06 11:00:00
43,3807,16,2021-10-06 20:00:00,2021-10-06 21:00:00
44,1543,19,2021-11-02 19:00:00,2021-11-02 20:00:00
45,1547,0,2021-09-13 17:00:00,2021-09-13 18:00:00
46,2324,27,2021-09-11 13:00:00,2021-09-11 14:00:00
47,1855,8,2021-08-31 11:00:00,2021-08-31 12:00:00
48,2143,30,2021-09-04 10:00:00,2021-09-04 11:00:00
49,3844,24,2021-10-21 17:00:00,2021-10-21 18:00:00
50,3540,26,2021-10-09 09:00:00,2021-10-09 10:00:00
51,3556,13,2021-10-29 17:00:00,2021-10-29 18:00:00
52,2763,30,2021-11-11 12:00:00,2021-11-11 13:00:00
53,3183,16,2021-09-26 20:00:00,2021-09-26 21:00:00
54,2792,9,2021-08-23 18:00:00,2021-08-23 19:00:00
